# Configuration: STAG 12 Pack (Pack 3S4P) @ 30.0A
# Output Level: Pack (scaled by series/parallel)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
28.6,12.143277,98.675926,-364.298324,-30,-0.238333,25.009911,6.320693,-6.316489
28.7,12.142927,98.671296,-364.287821,-30,-0.239167,25.009912,6.32106,-6.316915
28.8,12.142577,98.666667,-364.277322,-30,-0.24,25.009913,6.321422,-6.317335
28.9,12.142228,98.662037,-364.266827,-30,-0.240833,25.009913,6.321779,-6.317748
29,12.141878,98.657407,-364.256338,-30,-0.241667,25.009914,6.322131,-6.318156
29.1,12.141528,98.652778,-364.245853,-30,-0.2425,25.009915,6.322479,-6.318559
29.2,12.141179,98.648148,-364.235373,-30,-0.243333,25.009915,6.322822,-6.318956
29.3,12.14083,98.643519,-364.224897,-30,-0.244167,25.009916,6.323161,-6.319347
29.4,12.140481,98.638889,-364.214426,-30,-0.245,25.009916,6.323495,-6.319733
29.5,12.140132,98.634259,-364.203959,-30,-0.245833,25.009917,6.323826,-6.320114
29.6,12.139783,98.62963,-364.193496,-30,-0.246667,25.009918,6.324151,-6.32049
29.7,12.139435,98.625,-364.183038,-30,-0.2475,25.009918,6.324473,-6.320861
29.8,12.139086,98.62037,-364.172583,-30,-0.248333,25.009919,6.32479,-6.321227
29.9,12.138738,98.615741,-364.162133,-30,-0.249167,25.009919,6.325104,-6.321587
30,12.13839,98.611111,-364.151687,-30,-0.25,25.00992,6.325413,-6.321944
