# Configuration: STAG 12 Pack (Pack 3S4P) @ 30.0A
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],Temperature [°C],Heat Generation [W],Cooling Power [W]
17.9,4.061588,99.171296,-30.461907,-7.5,-0.037292,25.009724,0.518524,-0.516446
18,4.061434,99.166667,-30.460756,-7.5,-0.0375,25.009728,0.518692,-0.516656
18.1,4.061281,99.162037,-30.459609,-7.5,-0.037708,25.009732,0.518855,-0.516861
18.2,4.061129,99.157407,-30.458465,-7.5,-0.037917,25.009736,0.519016,-0.517062
18.3,4.060977,99.152778,-30.457325,-7.5,-0.038125,25.00974,0.519173,-0.51726
18.4,4.060825,99.148148,-30.456187,-7.5,-0.038333,25.009743,0.519328,-0.517453
18.5,4.060674,99.143519,-30.455053,-7.5,-0.038542,25.009747,0.519479,-0.517642
18.6,4.060523,99.138889,-30.453921,-7.5,-0.03875,25.00975,0.519627,-0.517827
18.7,4.060372,99.134259,-30.452793,-7.5,-0.038958,25.009754,0.519772,-0.518009
18.8,4.060222,99.12963,-30.451668,-7.5,-0.039167,25.009757,0.519914,-0.518187
18.9,4.060073,99.125,-30.450545,-7.5,-0.039375,25.00976,0.520053,-0.518361
19,4.059923,99.12037,-30.449425,-7.5,-0.039583,25.009764,0.52019,-0.518532
19.1,4.059774,99.115741,-30.448308,-7.5,-0.039792,25.009767,0.520324,-0.518699
19.2,4.059626,99.111111,-30.447194,-7.5,-0.04,25.00977,0.520455,-0.518863
19.3,4.059478,99.106481,-30.446082,-7.5,-0.040208,25.009773,0.520583,-0.519024
19.4,4.05933,99.101852,-30.444973,-7.5,-0.040417,25.009776,0.520709,-0.519181
19.5,4.059182,99.097222,-30.443866,-7.5,-0.040625,25.009779,0.520833,-0.519335
19.6,4.059035,99.092593,-30.442762,-7.5,-0.040833,25.009782,0.520954,-0.519486
19.7,4.058888,99.087963,-30.44166,-7.5,-0.041042,25.009784,0.521072,-0.519635
19.8,4.058741,99.083333,-30.440561,-7.5,-0.04125,25.009787,0.521188,-0.51978
19.9,4.058595,99.078704,-30.439464,-7.5,-0.041458,25.00979,0.521302,-0.519922
20,4.058449,99.074074,-30.438369,-7.5,-0.041667,25.009792,0.521414,-0.520061
20.1,4.058303,99.069444,-30.437276,-7.5,-0.041875,25.009795,0.521523,-0.520198
20.2,4.058158,99.064815,-30.436186,-7.5,-0.042083,25.009797,0.52163,-0.520331
20.3,4.058013,99.060185,-30.435097,-7.5,-0.042292,25.0098,0.521735,-0.520462
20.4,4.057868,99.055556,-30.434011,-7.5,-0.0425,25.009802,0.521838,-0.520591
20.5,4.057724,99.050926,-30.432927,-7.5,-0.042708,25.009805,0.521939,-0.520717
20.6,4.057579,99.046296,-30.431845,-7.5,-0.042917,25.009807,0.522038,-0.52084
20.7,4.057435,99.041667,-30.430764,-7.5,-0.043125,25.009809,0.522135,-0.520961
20.8,4.057291,99.037037,-30.429686,-7.5,-0.043333,25.009812,0.52223,-0.52108
20.9,4.057148,99.032407,-30.42861,-7.5,-0.043542,25.009814,0.522324,-0.521196
21,4.057005,99.027778,-30.427535,-7.5,-0.04375,25.009816,0.522415,-0.52131
21.1,4.056862,99.023148,-30.426462,-7.5,-0.043958,25.009818,0.522505,-0.521421
21.2,4.056719,99.018519,-30.425391,-7.5,-0.044167,25.00982,0.522592,-0.521531
21.3,4.056576,99.013889,-30.424322,-7.5,-0.044375,25.009822,0.522678,-0.521638
21.4,4.056434,99.009259,-30.423254,-7.5,-0.044583,25.009824,0.522763,-0.521743
21.5,4.056292,99.00463,-30.422188,-7.5,-0.044792,25.009826,0.522846,-0.521846
21.6,4.05615,99,-30.421124,-7.5,-0.045,25.009828,0.522927,-0.521947
21.7,4.056025,98.99537,-30.420189,-7.5,-0.045208,25.00983,0.523017,-0.522046
21.8,4.055901,98.990741,-30.419256,-7.5,-0.045417,25.009832,0.523105,-0.522144
21.9,4.055777,98.986111,-30.418324,-7.5,-0.045625,25.009833,0.523193,-0.522242
22,4.055652,98.981481,-30.417393,-7.5,-0.045833,25.009835,0.523278,-0.522338
22.1,4.055529,98.976852,-30.416465,-7.5,-0.046042,25.009837,0.523362,-0.522434
22.2,4.055405,98.972222,-30.415537,-7.5,-0.04625,25.009839,0.523445,-0.522528
22.3,4.055281,98.967593,-30.414611,-7.5,-0.046458,25.009841,0.523526,-0.522621
22.4,4.055158,98.962963,-30.413686,-7.5,-0.046667,25.009842,0.523606,-0.522712
22.5,4.055035,98.958333,-30.412763,-7.5,-0.046875,25.009844,0.523685,-0.522803
22.6,4.054912,98.953704,-30.411841,-7.5,-0.047083,25.009846,0.523762,-0.522892
22.7,4.054789,98.949074,-30.41092,-7.5,-0.047292,25.009847,0.523838,-0.52298
22.8,4.054667,98.944444,-30.410001,-7.5,-0.0475,25.009849,0.523912,-0.523067
22.9,4.054544,98.939815,-30.409083,-7.5,-0.047708,25.009851,0.523986,-0.523153
23,4.054422,98.935185,-30.408166,-7.5,-0.047917,25.009852,0.524058,-0.523237
23.1,4.0543,98.930556,-30.40725,-7.5,-0.048125,25.009854,0.524129,-0.52332
23.2,4.054178,98.925926,-30.406336,-7.5,-0.048333,25.009855,0.524199,-0.523402
23.3,4.054056,98.921296,-30.405422,-7.5,-0.048542,25.009857,0.524268,-0.523482
23.4,4.053935,98.916667,-30.40451,-7.5,-0.04875,25.009858,0.524335,-0.523562
23.5,4.053813,98.912037,-30.403599,-7.5,-0.048958,25.00986,0.524401,-0.52364
23.6,4.053692,98.907407,-30.402689,-7.5,-0.049167,25.009861,0.524467,-0.523717
23.7,4.053571,98.902778,-30.40178,-7.5,-0.049375,25.009863,0.524531,-0.523793
23.8,4.05345,98.898148,-30.400872,-7.5,-0.049583,25.009864,0.524594,-0.523868
23.9,4.053329,98.893519,-30.399965,-7.5,-0.049792,25.009865,0.524657,-0.523941
